Department,City,Total Unit Var.,VIS Var.,No-VIS Var.
Antioquia,Medellín,0.08,0.07,0.1
Atlántico,Barranquilla,0.2,0.19,0.25
"Bogotá, D.C.","Bogotá, D.C.",0.12,0.22,-0.13
Bolívar,Cartagena,-0.16,-0.23,0.02
Caldas,Manizales,0.12,0.07,0.17
Córdoba,Montería,-0.14,-0.17,-0.09
Magdalena,Santa Marta,0.13,0.7,-0.22
Meta,Villavicencio,0.03,-0.04,0.19
Norte de Santander,Cúcuta,-0.01,-0.12,0.28
Quindío,Armenia,0.02,-0.07,0.2
Risaralda,Pereira,0.07,0.11,0
Santander,Bucaramanga,-0.01,0.01,-0.03
Tolima,Ibagué,0.09,0.14,-0.07
Valle del Cauca,Cali,0.32,0.32,0.3
